Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Ivan Barbashev,20222023,VGK,L,C,22,7,11,18,14,18,0.82,6,16,1,2,0,0,0,1,32,21.9,15:34,54.8,1995-12-14,Moscow,--,RUS,RUS,72,203,2014,2,33,20162017,N,Playoffs
Aleksander Barkov,20222023,FLA,L,C,21,5,11,16,5,10,0.76,5,13,0,3,0,0,0,0,55,9.1,21:59,51.1,1995-09-02,Tampere,--,FIN,FIN,75,214,2013,1,2,20152016,N,Playoffs
Morgan Barron,20222023,WPG,L,C,5,0,0,0,-6,2,0,0,0,0,0,0,0,0,0,13,0,13:00,0,1998-12-02,Halifax,NS,CAN,CAN,76,220,2017,6,174,20222023,N,Playoffs
Mathew Barzal,20222023,NYI,R,C,6,2,0,2,-1,2,0.33,2,2,0,0,0,0,0,1,14,14.3,17:07,--,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20182019,N,Playoffs
Nathan Bastian,20222023,NJD,R,R,12,1,1,2,-1,16,0.17,1,2,0,0,0,0,0,0,13,7.7,11:15,33.3,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20222023,N,Playoffs
Pierre-Edouard Bellemare,20222023,TBL,L,L,6,1,1,2,0,0,0.33,1,2,0,0,0,0,0,0,5,20,11:19,60.3,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20152016,N,Playoffs
Matty Beniers,20222023,SEA,L,C,14,3,4,7,6,4,0.5,3,7,0,0,0,0,0,0,22,13.6,17:48,38.8,2002-11-05,Hingham,MA,USA,USA,74,181,2021,1,2,20222023,N,Playoffs
Jamie Benn,20222023,DAL,L,L,17,3,8,11,-1,51,0.65,1,7,2,4,0,0,0,0,37,8.1,16:20,62.4,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20132014,N,Playoffs
Sam Bennett,20222023,FLA,L,C,20,5,10,15,5,60,0.75,4,11,1,4,0,0,0,0,73,6.9,20:52,37.5,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Playoffs
Patrice Bergeron,20222023,BOS,R,C,3,1,0,1,-6,0,0.33,0,0,1,1,0,0,0,0,12,8.3,19:30,70.3,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,Playoffs
Tyler Bertuzzi,20222023,BOS,L,L,7,5,5,10,-4,26,1.43,2,4,3,6,0,0,0,1,21,23.8,17:55,28.6,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20222023,N,Playoffs
Oliver Bjorkstrand,20222023,SEA,R,R,14,4,4,8,-5,0,0.57,4,8,0,0,0,0,0,1,36,11.1,17:34,35.3,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20162017,N,Playoffs
Nick Bjugstad,20222023,EDM,R,C,12,3,0,3,-2,16,0.25,3,3,0,0,0,0,0,1,16,18.8,13:34,52.1,1992-07-17,Minneapolis,MN,USA,USA,77,205,2010,1,19,20152016,N,Playoffs
Teddy Blueger,20222023,VGK,L,C,6,1,1,2,1,0,0.33,1,2,0,0,0,0,0,0,6,16.7,10:30,26.7,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,Playoffs
Zach Bogosian,20222023,TBL,R,D,5,0,1,1,2,7,0.2,0,1,0,0,0,0,0,0,6,0,12:47,--,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20192020,N,Playoffs
Samuel Bolduc,20222023,NYI,L,D,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,7:00,--,2000-12-09,Laval,QC,CAN,CAN,76,224,2019,2,57,20222023,N,Playoffs
Matt Boldy,20222023,MIN,L,L,6,0,3,3,-5,4,0.5,0,1,0,2,0,0,0,0,24,0,20:53,45.9,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,Playoffs
Jesper Boqvist,20222023,NJD,L,C,6,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,9:58,12.5,1998-10-30,Falun,--,SWE,SWE,73,190,2017,2,36,20222023,N,Playoffs
Will Borgen,20222023,SEA,R,D,14,1,2,3,-6,8,0.21,1,3,0,0,0,0,0,0,10,10,17:41,--,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20222023,N,Playoffs
Evan Bouchard,20222023,EDM,R,D,12,4,13,17,-4,4,1.42,0,2,4,15,0,0,0,2,29,13.8,23:00,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20212022,N,Playoffs
Jesper Bratt,20222023,NJD,L,L,12,1,5,6,-3,4,0.5,1,4,0,2,0,0,0,0,25,4,18:06,--,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,Playoffs
Philip Broberg,20222023,EDM,L,D,9,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,6:53,--,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,Playoffs
TJ Brodie,20222023,TOR,L,D,11,0,3,3,-3,12,0.27,0,3,0,0,0,0,0,0,9,0,23:20,--,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20142015,N,Playoffs
Jonas Brodin,20222023,MIN,L,D,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,25:47,--,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,Playoffs
Michael Bunting,20222023,TOR,L,L,7,1,1,2,-1,15,0.29,1,1,0,1,0,0,0,0,9,11.1,14:33,0,1995-09-17,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20212022,N,Playoffs
Brent Burns,20222023,CAR,R,D,15,2,7,9,6,20,0.6,2,5,0,4,0,0,0,0,56,3.6,26:00,--,1985-03-09,Barrie,ON,CAN,CAN,77,228,2003,1,20,20062007,N,Playoffs
Quinton Byfield,20222023,LAK,L,R,6,1,3,4,-5,2,0.67,1,3,0,1,0,0,0,0,8,12.5,15:09,37.5,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20212022,N,Playoffs
Bowen Byram,20222023,COL,L,D,7,0,3,3,1,0,0.43,0,3,0,0,0,0,0,0,22,0,21:55,--,2001-06-13,Cranbrook,BC,CAN,CAN,73,205,2019,1,4,20212022,N,Playoffs
Kyle Capobianco,20222023,WPG,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:02,--,1997-08-13,Mississauga,ON,CAN,CAN,75,198,2015,3,63,20222023,N,Playoffs
Brandon Carlo,20222023,BOS,R,D,7,0,4,4,2,4,0.57,0,4,0,0,0,0,0,0,16,0,19:58,--,1996-11-26,Colorado Springs,CO,USA,USA,77,220,2015,2,37,20182019,N,Playoffs
William Carrier,20222023,VGK,L,L,18,2,4,6,2,26,0.33,2,5,0,1,0,0,0,1,16,12.5,9:59,50,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20172018,N,Playoffs
Cody Ceci,20222023,EDM,R,D,12,0,1,1,-5,2,0.08,0,1,0,0,0,0,0,0,14,0,18:59,--,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20142015,N,Playoffs
Erik Cernak,20222023,TBL,R,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9:27,--,1997-05-28,Kosice,--,SVK,SVK,76,230,2015,2,43,20182019,N,Playoffs
Jalen Chatfield,20222023,CAR,R,D,15,1,3,4,1,14,0.27,1,4,0,0,0,0,0,0,16,6.3,15:27,--,1996-05-15,Ypsilanti,MI,USA,USA,73,199,--,--,--,20222023,N,Playoffs
Filip Chytil,20222023,NYR,L,C,7,1,3,4,1,0,0.57,1,4,0,0,0,0,0,0,13,7.7,15:03,60.9,1999-09-05,Kromeriz,--,CZE,CZE,74,210,2017,1,21,20192020,N,Playoffs
Anthony Cirelli,20222023,TBL,L,C,6,3,3,6,1,4,1,3,5,0,1,0,0,0,0,12,25,17:49,44.4,1997-07-15,Etobicoke,ON,CAN,CAN,73,191,2015,3,72,20172018,N,Playoffs
Casey Cizikas,20222023,NYI,L,C,6,1,2,3,-2,16,0.5,1,3,0,0,0,0,0,0,7,14.3,14:13,50,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20122013,N,Playoffs
Connor Clifton,20222023,BOS,R,D,3,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,5,0,14:40,--,1995-04-28,Matawan,NJ,USA,USA,71,195,2013,5,133,20182019,N,Playoffs
Cal Clutterbuck,20222023,NYI,R,R,6,1,0,1,-1,16,0.17,1,1,0,0,0,0,0,0,3,33.3,12:17,--,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20122013,N,Playoffs
Andrew Cogliano,20222023,COL,L,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9:36,14.3,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20122013,N,Playoffs
Ian Cole,20222023,TBL,L,D,6,1,2,3,-2,4,0.5,1,3,0,0,0,0,0,0,1,100,18:48,--,1989-02-21,Ann Arbor,MI,USA,USA,73,237,2007,1,18,20112012,N,Playoffs
Ross Colton,20222023,TBL,L,C,6,1,3,4,0,4,0.67,1,3,0,1,0,0,0,0,8,12.5,13:28,25,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,Playoffs
J.T. Compher,20222023,COL,R,L,7,1,1,2,-2,0,0.29,0,0,0,1,1,1,0,0,15,6.7,22:38,47.4,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20172018,N,Playoffs
Kyle Connor,20222023,WPG,L,L,5,3,1,4,0,0,0.8,3,3,0,1,0,0,0,0,26,11.5,22:20,--,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20172018,N,Playoffs
Nick Cousins,20222023,FLA,L,C,21,2,5,7,0,16,0.33,2,7,0,0,0,0,1,1,26,7.7,14:26,41.4,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20152016,N,Playoffs
Charlie Coyle,20222023,BOS,R,C,7,1,1,2,-1,4,0.29,1,2,0,0,0,0,0,0,15,6.7,17:20,56.4,1992-03-02,East Weymouth,MA,USA,USA,75,215,2010,1,28,20122013,N,Playoffs
Evgenii Dadonov,20222023,DAL,L,R,16,4,6,10,5,2,0.63,4,8,0,2,0,0,0,1,29,13.8,15:29,--,1989-03-12,Chelyabinsk,--,RUS,RUS,71,188,2007,3,71,20192020,N,Playoffs
Zac Dalpe,20222023,FLA,R,C,13,1,0,1,-8,2,0.08,1,1,0,0,0,0,0,0,15,6.7,6:06,--,1989-11-01,Paris,ON,CAN,CAN,73,194,2008,2,45,20152016,N,Playoffs
Phillip Danault,20222023,LAK,L,C,6,2,3,5,1,12,0.83,1,3,0,1,1,1,0,0,17,11.8,20:08,45.5,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20162017,N,Playoffs
Jake DeBrusk,20222023,BOS,L,L,7,4,2,6,-1,10,0.86,2,4,1,1,1,1,0,0,11,36.4,16:08,0,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,Playoffs
Ty Dellandrea,20222023,DAL,R,C,15,3,0,3,-4,22,0.2,3,3,0,0,0,0,0,1,25,12,15:19,46.7,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20212022,N,Playoffs
Dylan DeMelo,20222023,WPG,R,D,5,0,2,2,-1,6,0.4,0,2,0,0,0,0,0,0,4,0,24:49,--,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20172018,N,Playoffs
Grigori Denisenko,20222023,FLA,R,L,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,--,5:57,--,2000-06-24,Novosibirsk,--,RUS,RUS,71,198,2018,1,15,20222023,N,Playoffs
Vincent Desharnais,20222023,EDM,R,D,12,0,2,2,-3,8,0.17,0,2,0,0,0,0,0,0,6,0,13:35,--,1996-05-29,Laval,QC,CAN,CAN,79,226,2016,7,183,20222023,N,Playoffs
Connor Dewar,20222023,MIN,L,C,6,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,6,0,11:25,36.7,1999-06-26,The Pas,MB,CAN,CAN,70,192,2018,3,92,20212022,N,Playoffs
Brenden Dillon,20222023,WPG,L,D,5,0,1,1,-3,9,0.2,0,1,0,0,0,0,0,0,7,0,22:35,--,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20132014,N,Playoffs
Noah Dobson,20222023,NYI,R,D,6,0,2,2,2,2,0.33,0,2,0,0,0,0,0,0,12,0,20:11,--,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,Playoffs
Max Domi,20222023,DAL,L,C,19,3,10,13,-3,52,0.68,3,13,0,0,0,0,0,0,34,8.8,14:51,56.3,1995-03-02,Winnipeg,MB,CAN,CAN,70,209,2013,1,12,20192020,N,Playoffs
Ryan Donato,20222023,SEA,L,C,14,0,2,2,-2,12,0.14,0,2,0,0,0,0,0,0,24,0,9:05,32.8,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,Playoffs
Drew Doughty,20222023,LAK,R,D,6,0,3,3,-5,4,0.5,0,1,0,2,0,0,0,0,6,0,28:14,--,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20092010,N,Playoffs
Leon Draisaitl,20222023,EDM,L,C,12,13,5,18,-1,10,1.5,7,10,6,8,0,0,0,0,45,28.9,23:08,55.1,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20162017,N,Playoffs
Jack Drury,20222023,CAR,L,C,13,0,3,3,2,10,0.23,0,2,0,1,0,0,0,0,23,0,13:54,85.7,2000-02-03,New York,NY,USA,USA,71,186,2018,2,42,20222023,N,Playoffs
Pierre-Luc Dubois,20222023,WPG,L,L,5,2,2,4,-4,8,0.8,1,3,1,1,0,0,0,1,13,15.4,21:00,58.4,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,Playoffs
Anthony Duclair,20222023,FLA,L,L,20,4,7,11,-6,16,0.55,3,10,1,1,0,0,0,0,40,10,15:19,--,1995-08-26,Pointe-Claire,QC,CAN,CAN,72,200,2013,3,80,20202021,N,Playoffs
Brandon Duhaime,20222023,MIN,L,R,6,0,0,0,-2,10,0,0,0,0,0,0,0,0,0,6,0,11:18,100,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,Playoffs
Mathew Dumba,20222023,MIN,R,D,6,0,2,2,0,4,0.33,0,2,0,0,0,0,0,0,9,0,22:53,--,1994-07-25,Regina,SK,CAN,CAN,73,185,2012,1,7,20142015,N,Playoffs
Vince Dunn,20222023,SEA,L,D,14,1,6,7,2,22,0.5,1,7,0,0,0,0,0,0,27,3.7,23:10,--,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20182019,N,Playoffs
Sean Durzi,20222023,LAK,R,D,6,1,0,1,-4,2,0.17,1,1,0,0,0,0,0,0,5,20,16:01,--,1998-10-21,Mississauga,ON,CAN,CAN,73,196,2018,2,52,20212022,N,Playoffs
Jordan Eberle,20222023,SEA,R,R,14,6,5,11,5,6,0.79,4,9,2,2,0,0,1,1,31,19.4,18:07,55.9,1990-05-15,Regina,SK,CAN,CAN,71,180,2008,1,22,20162017,N,Playoffs
Alexander Edler,20222023,LAK,L,D,4,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,2,0,12:13,--,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,Playoffs
Nikolaj Ehlers,20222023,WPG,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,21:10,--,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20172018,N,Playoffs
Jack Eichel,20222023,VGK,R,C,22,6,20,26,14,14,1.18,3,18,3,8,0,0,0,0,71,8.5,19:00,46.1,1996-10-28,North Chelmsford,MA,USA,USA,74,206,2015,1,2,20222023,N,Playoffs
Aaron Ekblad,20222023,FLA,R,D,20,2,6,8,9,20,0.4,1,5,1,3,0,0,0,0,26,7.7,23:57,--,1996-02-07,Windsor,ON,CAN,CAN,76,220,2014,1,1,20152016,N,Playoffs
Mattias Ekholm,20222023,EDM,L,D,12,1,6,7,0,8,0.58,1,6,0,1,0,0,0,0,20,5,21:53,--,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20142015,N,Playoffs
Lars Eller,20222023,COL,L,C,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,9,0,14:04,65.3,1989-05-08,Rodovre,--,DNK,DNK,74,208,2007,1,13,20102011,N,Playoffs
Pierre Engvall,20222023,NYI,L,L,6,1,1,2,4,0,0.33,1,2,0,0,0,0,0,0,12,8.3,15:15,33.3,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,Playoffs
Joel Eriksson Ek,20222023,MIN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:19,0,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,Playoffs
Michael Eyssimont,20222023,TBL,L,C,3,1,1,2,1,0,0.67,1,2,0,0,0,0,0,0,5,20,10:12,--,1996-09-09,Littleton,CO,USA,USA,72,191,2016,5,142,20222023,N,Playoffs
Brock Faber,20222023,MIN,R,D,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,14:33,--,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,2,45,20222023,N,Playoffs
Radek Faksa,20222023,DAL,L,C,19,1,2,3,-5,10,0.16,1,3,0,0,0,0,0,0,18,5.6,13:42,60.6,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,Playoffs
Hudson Fasching,20222023,NYI,R,R,6,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,10,0,11:40,0,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20222023,N,Playoffs
Jesper Fast,20222023,CAR,R,R,15,6,3,9,2,2,0.6,4,6,1,1,1,2,2,2,29,20.7,16:46,66.7,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,Playoffs
Kevin Fiala,20222023,LAK,L,L,3,1,5,6,1,4,2,0,3,1,3,0,0,0,0,8,12.5,18:32,--,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,Playoffs
Casey Fitzgerald,20222023,FLA,R,D,2,0,0,0,-1,10,0,0,0,0,0,0,0,0,0,1,0,9:25,--,1997-02-25,North Reading,MA,USA,USA,72,187,2016,3,86,20222023,N,Playoffs
Haydn Fleury,20222023,TBL,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15:41,--,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20182019,N,Playoffs
Warren Foegele,20222023,EDM,L,L,12,2,1,3,-2,16,0.25,2,3,0,0,0,0,0,0,27,7.4,11:52,--,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20182019,N,Playoffs
Marcus Foligno,20222023,MIN,L,L,6,1,0,1,-1,35,0.17,0,0,1,1,0,0,0,0,6,16.7,13:54,50,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20172018,N,Playoffs
Nick Foligno,20222023,BOS,L,L,6,1,2,3,0,18,0.5,1,3,0,0,0,0,0,0,7,14.3,11:28,42.1,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,Playoffs
Derek Forbort,20222023,BOS,L,D,7,0,1,1,-1,19,0.14,0,1,0,0,0,0,0,0,4,0,15:26,--,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20192020,N,Playoffs
Gustav Forsling,20222023,FLA,L,D,21,2,6,8,7,10,0.38,1,4,0,3,1,1,0,1,36,5.6,26:01,--,1996-06-12,Linkoping,--,SWE,SWE,73,199,2014,5,126,20202021,N,Playoffs
Adam Fox,20222023,NYR,R,D,7,0,8,8,0,16,1.14,0,4,0,4,0,0,0,0,10,0,23:05,--,1998-02-17,Jericho,NY,USA,USA,71,180,2016,3,66,20192020,N,Playoffs
Trent Frederic,20222023,BOS,L,C,5,0,0,0,-2,10,0,0,0,0,0,0,0,0,0,8,0,10:19,100,1998-02-11,St. Louis,MO,USA,USA,75,221,2016,1,29,20212022,N,Playoffs
Jesper Froden,20222023,SEA,R,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,4:09,--,1994-09-21,Stockholm,--,SWE,SWE,70,179,--,--,--,20222023,N,Playoffs
Frederick Gaudreau,20222023,MIN,R,C,6,3,0,3,0,4,0.5,2,2,1,1,0,0,0,0,17,17.7,17:42,44,1993-05-01,Bromont,QC,CAN,CAN,72,184,--,--,--,20162017,N,Playoffs
Vladislav Gavrikov,20222023,LAK,L,D,6,0,1,1,5,0,0.17,0,1,0,0,0,0,0,0,10,0,21:38,--,1995-11-21,Yaroslavl,--,RUS,RUS,75,220,2015,6,159,20182019,N,Playoffs
Morgan Geekie,20222023,SEA,R,C,13,2,2,4,0,12,0.31,2,4,0,0,0,0,0,0,14,14.3,11:19,45,1998-07-20,Strathclair,MB,CAN,CAN,75,208,2017,3,67,20192020,N,Playoffs
Mark Giordano,20222023,TOR,L,D,11,0,2,2,-7,7,0.18,0,0,0,2,0,0,0,0,14,0,14:53,--,1983-10-03,Toronto,ON,CAN,CAN,72,202,--,--,--,20062007,N,Playoffs
Samuel Girard,20222023,COL,L,D,7,0,2,2,-4,2,0.29,0,1,0,1,0,0,0,0,9,0,21:04,--,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,Playoffs
Luke Glendening,20222023,DAL,R,C,17,2,1,3,-5,2,0.18,2,3,0,0,0,0,0,0,15,13.3,11:26,60,1989-04-28,Grand Rapids,MI,USA,USA,71,190,--,--,--,20132014,N,Playoffs
Barclay Goodrow,20222023,NYR,L,C,7,1,0,1,-2,29,0.14,1,1,0,0,0,0,0,0,3,33.3,12:21,48.3,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20172018,N,Playoffs
Shayne Gostisbehere,20222023,CAR,L,D,15,0,3,3,-2,6,0.2,0,1,0,2,0,0,0,0,24,0,18:00,--,1993-04-20,Pembroke Pines,FL,USA,USA,71,183,2012,3,78,20152016,N,Playoffs
Yanni Gourde,20222023,SEA,L,C,14,4,9,13,1,14,0.93,3,11,0,0,1,2,1,2,25,16,19:38,46.5,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,174,--,--,--,20172018,N,Playoffs
Ryan Graves,20222023,NJD,L,D,10,0,1,1,-1,4,0.1,0,1,0,0,0,0,0,0,9,0,19:48,--,1995-05-21,Yarmouth,NS,CAN,CAN,77,222,2013,4,110,20192020,N,Playoffs
Carl Grundstrom,20222023,LAK,L,R,6,0,1,1,-3,4,0.17,0,1,0,0,0,0,0,0,6,0,9:47,--,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20212022,N,Playoffs
Matt Grzelcyk,20222023,BOS,L,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,6,0,13:00,--,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20172018,N,Playoffs
Radko Gudas,20222023,FLA,R,D,21,0,3,3,-5,34,0.14,0,3,0,0,0,0,0,0,17,0,17:01,--,1990-06-05,Prague,--,CZE,CZE,72,208,2010,3,66,20132014,N,Playoffs
David Gustafsson,20222023,WPG,L,C,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,--,8:48,71.4,2000-04-11,Tingsryd,--,SWE,SWE,74,196,2018,2,60,20222023,N,Playoffs
Erik Gustafsson,20222023,TOR,L,D,2,1,0,1,0,0,0.5,1,1,0,0,0,0,0,0,3,33.3,10:03,--,1992-03-14,Nynashamn,--,SWE,SWE,73,189,2012,4,93,20152016,N,Playoffs
Brandon Hagel,20222023,TBL,L,L,6,1,4,5,0,0,0.83,1,5,0,0,0,0,0,0,15,6.7,21:01,33.3,1998-08-27,Saskatoon,SK,CAN,CAN,74,180,2016,6,159,20212022,N,Playoffs
Nicolas Hague,20222023,VGK,L,D,22,2,4,6,12,37,0.27,2,6,0,0,0,0,0,1,25,8,18:34,--,1998-12-05,Kitchener,ON,CAN,CAN,78,245,2017,2,34,20202021,N,Playoffs
Jani Hakanpää,20222023,DAL,R,D,15,1,1,2,-3,16,0.13,1,2,0,0,0,0,0,0,13,7.7,20:31,--,1992-03-31,Kirkkonummi,--,FIN,FIN,79,225,2010,4,104,20202021,N,Playoffs
Taylor Hall,20222023,BOS,L,L,7,5,3,8,4,2,1.14,5,7,0,1,0,0,0,0,12,41.7,14:29,0,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,1,1,20172018,N,Playoffs
Dougie Hamilton,20222023,NJD,R,D,12,1,3,4,-11,2,0.33,1,2,0,2,0,0,1,1,23,4.4,20:52,--,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,1,9,20122013,N,Playoffs
