Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Leon Draisaitl,20212022,EDM,L,C,16,7,25,32,4,6,2,3,22,3,9,1,1,0,1,44,15.9,21:22,48.6,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20162017,N,Playoffs
Dillon Dube,20212022,CGY,L,C,12,0,1,1,-2,2,0.08,0,1,0,0,0,0,0,0,23,0,14:19,53.9,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20192020,N,Playoffs
Matt Duchene,20212022,NSH,L,C,4,3,1,4,1,0,1,2,3,1,1,0,0,0,0,8,37.5,20:43,20,1991-01-16,Haliburton,ON,CAN,CAN,71,212,2009,1,3,20092010,N,Playoffs
Anthony Duclair,20212022,FLA,L,L,8,1,2,3,4,4,0.38,1,3,0,0,0,0,0,0,6,16.7,12:43,--,1995-08-26,Pointe-Claire,QC,CAN,CAN,72,200,2013,3,80,20202021,N,Playoffs
Brandon Duhaime,20212022,MIN,L,R,6,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,6,0,7:08,50,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,Playoffs
Mathew Dumba,20212022,MIN,R,D,6,1,0,1,4,2,0.17,1,1,0,0,0,0,0,0,15,6.7,21:31,--,1994-07-25,Regina,SK,CAN,CAN,73,185,2012,1,7,20142015,N,Playoffs
Brian Dumoulin,20212022,PIT,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36:35,--,1991-09-06,Biddeford,ME,USA,USA,76,214,2009,2,51,20142015,N,Playoffs
Sean Durzi,20212022,LAK,R,D,7,1,2,3,-5,6,0.43,0,1,1,2,0,0,0,0,16,6.3,21:30,--,1998-10-21,Mississauga,ON,CAN,CAN,73,196,2018,2,52,20212022,N,Playoffs
Alexander Edler,20212022,LAK,L,D,7,0,2,2,4,14,0.29,0,2,0,0,0,0,0,0,9,0,18:01,--,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,Playoffs
Aaron Ekblad,20212022,FLA,R,D,10,1,4,5,-2,11,0.5,1,5,0,0,0,0,0,0,23,4.4,23:51,0,1996-02-07,Windsor,ON,CAN,CAN,76,220,2014,1,1,20152016,N,Playoffs
Mattias Ekholm,20212022,NSH,L,D,4,0,2,2,-2,0,0.5,0,1,0,1,0,0,0,0,8,0,22:49,--,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20142015,N,Playoffs
Lars Eller,20212022,WSH,L,C,6,1,2,3,-4,0,0.5,1,3,0,0,0,0,0,0,15,6.7,15:48,53.9,1989-05-08,Rodovre,--,DNK,DNK,74,208,2007,1,13,20102011,N,Playoffs
Pierre Engvall,20212022,TOR,L,L,7,0,3,3,0,14,0.43,0,3,0,0,0,0,0,0,12,0,15:09,50,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,Playoffs
Joel Eriksson Ek,20212022,MIN,L,C,6,3,2,5,1,8,0.83,3,4,0,1,0,0,0,0,20,15,18:10,47.5,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,Playoffs
Dante Fabbro,20212022,NSH,R,D,4,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,4,0,19:40,--,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,Playoffs
Radek Faksa,20212022,DAL,L,C,7,1,1,2,1,4,0.29,1,2,0,0,0,0,0,0,9,11.1,13:51,59.3,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,Playoffs
Jesper Fast,20212022,CAR,R,R,14,1,0,1,-2,0,0.07,1,1,0,0,0,0,0,0,13,7.7,15:28,40,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,Playoffs
Justin Faulk,20212022,STL,R,D,12,1,7,8,-2,10,0.67,1,6,0,2,0,0,0,0,29,3.5,25:58,--,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20182019,N,Playoffs
Martin Fehervary,20212022,WSH,L,D,6,0,0,0,-7,8,0,0,0,0,0,0,0,0,0,1,0,19:43,--,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,Playoffs
Kevin Fiala,20212022,MIN,L,L,6,0,3,3,-5,16,0.5,0,1,0,2,0,0,0,0,15,0,17:36,--,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,Playoffs
Warren Foegele,20212022,EDM,L,L,13,0,1,1,-5,2,0.08,0,1,0,0,0,0,0,0,14,0,9:36,75,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20182019,N,Playoffs
Marcus Foligno,20212022,MIN,L,L,6,0,2,2,1,14,0.33,0,2,0,0,0,0,0,0,4,0,16:16,0,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20172018,N,Playoffs
Nick Foligno,20212022,BOS,L,L,7,0,1,1,2,4,0.14,0,1,0,0,0,0,0,0,6,0,9:59,20,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,Playoffs
Cal Foote,20212022,TBL,R,D,13,0,2,2,1,6,0.15,0,2,0,0,0,0,0,0,8,0,11:29,--,1998-12-13,Denver,CO,USA,USA,77,224,2017,1,14,20212022,N,Playoffs
Derek Forbort,20212022,BOS,L,D,7,1,0,1,-1,12,0.14,1,1,0,0,0,0,0,0,7,14.3,18:23,--,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20192020,N,Playoffs
Filip Forsberg,20212022,NSH,R,L,4,1,0,1,-1,6,0.25,1,1,0,0,0,0,0,0,13,7.7,20:06,--,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20142015,N,Playoffs
Gustav Forsling,20212022,FLA,L,D,10,0,3,3,7,4,0.3,0,3,0,0,0,0,0,0,21,0,21:58,--,1996-06-12,Linkoping,--,SWE,SWE,73,199,2014,5,126,20202021,N,Playoffs
Adam Fox,20212022,NYR,R,D,20,5,18,23,0,2,1.15,3,11,2,12,0,0,0,1,42,11.9,26:38,--,1998-02-17,Jericho,NY,USA,USA,71,180,2016,3,66,20192020,N,Playoffs
Trent Frederic,20212022,BOS,L,C,4,0,0,0,-2,16,0,0,0,0,0,0,0,0,0,5,0,8:41,--,1998-02-11,St. Louis,MO,USA,USA,75,221,2016,1,29,20212022,N,Playoffs
Mark Friedman,20212022,PIT,R,D,6,1,0,1,3,0,0.17,1,1,0,0,0,0,0,0,7,14.3,10:55,--,1995-12-25,Toronto,ON,CAN,CAN,71,185,2014,3,86,20212022,N,Playoffs
Frederick Gaudreau,20212022,MIN,R,C,6,1,0,1,-1,0,0.17,0,0,1,1,0,0,0,0,11,9.1,15:41,58.7,1993-05-01,Bromont,QC,CAN,CAN,72,184,--,--,--,20162017,N,Playoffs
Johnny Gaudreau,20212022,CGY,L,L,12,3,11,14,-3,2,1.17,3,11,0,3,0,0,1,2,52,5.8,19:34,--,1993-08-13,Salem,NJ,USA,USA,69,163,2011,4,104,20142015,N,Playoffs
Mark Giordano,20212022,TOR,L,D,7,0,2,2,0,6,0.29,0,1,0,1,0,0,0,0,10,0,20:07,--,1983-10-03,Toronto,ON,CAN,CAN,72,202,--,--,--,20062007,N,Playoffs
Samuel Girard,20212022,COL,L,D,7,1,2,3,-1,0,0.43,1,2,0,1,0,0,0,0,14,7.1,17:59,--,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,Playoffs
Claude Giroux,20212022,FLA,R,R,10,3,5,8,2,0,0.8,3,8,0,0,0,0,0,0,25,12,18:00,55.2,1988-01-12,Hearst,ON,CAN,CAN,71,188,2006,1,22,20082009,N,Playoffs
Cody Glass,20212022,NSH,R,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9:50,47.1,1999-04-01,Winnipeg,MB,CAN,CAN,75,201,2017,1,6,20202021,N,Playoffs
Luke Glendening,20212022,DAL,R,C,6,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,4,0,11:38,69.6,1989-04-28,Grand Rapids,MI,USA,USA,71,190,--,--,--,20132014,N,Playoffs
Alex Goligoski,20212022,MIN,L,D,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,2,0,15:41,--,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,2,61,20082009,N,Playoffs
Barclay Goodrow,20212022,NYR,L,C,9,0,1,1,-1,6,0.11,0,1,0,0,0,0,0,0,6,0,15:00,40,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20172018,N,Playoffs
Mikael Granlund,20212022,NSH,L,C,4,0,3,3,-1,0,0.75,0,1,0,2,0,0,0,0,10,0,21:52,51.2,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20132014,N,Playoffs
Jordan Greenway,20212022,MIN,L,L,6,1,1,2,0,6,0.33,1,2,0,0,0,0,0,0,5,20,13:24,25,1997-02-16,Canton,NY,USA,USA,78,231,2015,2,50,20172018,N,Playoffs
Carl Grundstrom,20212022,LAK,L,R,6,3,1,4,-1,0,0.67,3,4,0,0,0,0,0,0,14,21.4,14:41,0,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20212022,N,Playoffs
Matt Grzelcyk,20212022,BOS,L,D,5,0,0,0,-6,6,0,0,0,0,0,0,0,0,0,3,0,18:09,--,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20172018,N,Playoffs
Radko Gudas,20212022,FLA,R,D,10,0,2,2,1,6,0.2,0,2,0,0,0,0,0,0,11,0,14:38,--,1990-06-05,Prague,--,CZE,CZE,72,208,2010,3,66,20132014,N,Playoffs
Erik Gudbranson,20212022,CGY,R,D,12,0,1,1,-1,0,0.08,0,1,0,0,0,0,0,0,22,0,18:02,--,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,1,3,20112012,N,Playoffs
Jake Guentzel,20212022,PIT,L,C,7,8,2,10,1,2,1.43,7,8,1,2,0,0,0,1,39,20.5,22:28,--,1994-10-06,Omaha,NE,USA,USA,71,178,2013,3,77,20162017,N,Playoffs
Denis Gurianov,20212022,DAL,L,R,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,11:20,0,1997-06-07,Togliatti,--,RUS,RUS,75,205,2015,1,12,20192020,N,Playoffs
Brandon Hagel,20212022,TBL,L,L,23,2,4,6,0,25,0.26,2,6,0,0,0,0,0,1,41,4.9,14:21,48.6,1998-08-27,Saskatoon,SK,CAN,CAN,74,180,2016,6,159,20212022,N,Playoffs
Jani Hakanpää,20212022,DAL,R,D,7,0,2,2,1,4,0.29,0,2,0,0,0,0,0,0,12,0,18:19,--,1992-03-31,Kirkkonummi,--,FIN,FIN,79,225,2010,4,104,20202021,N,Playoffs
Taylor Hall,20212022,BOS,L,L,7,2,2,4,-6,8,0.57,1,3,1,1,0,0,0,0,14,14.3,15:48,16.7,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,1,1,20172018,N,Playoffs
Noah Hanifin,20212022,CGY,L,D,12,0,3,3,-11,4,0.25,0,2,0,1,0,0,0,0,38,0,23:04,--,1997-01-25,Boston,MA,USA,USA,75,206,2015,1,5,20182019,N,Playoffs
Joel Hanley,20212022,DAL,L,D,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,12:03,--,1991-06-08,Keswick,ON,CAN,CAN,71,186,--,--,--,20182019,N,Playoffs
Ryan Hartman,20212022,MIN,R,R,6,0,5,5,0,2,0.83,0,4,0,1,0,0,0,0,10,0,17:23,43.8,1994-09-20,Hilton Head Island,SC,USA,USA,72,197,2013,1,30,20162017,N,Playoffs
Garnet Hathaway,20212022,WSH,R,R,6,1,1,2,-6,16,0.33,1,2,0,0,0,0,0,0,8,12.5,13:25,--,1991-11-23,Naples,FL,USA,USA,74,212,--,--,--,20182019,N,Playoffs
Erik Haula,20212022,BOS,L,L,7,1,2,3,-4,8,0.43,1,3,0,0,0,0,0,1,9,11.1,13:58,54.3,1991-03-23,Pori,--,FIN,FIN,71,191,2009,7,182,20132014,N,Playoffs
Victor Hedman,20212022,TBL,L,D,23,3,16,19,2,10,0.83,1,10,2,9,0,0,0,0,77,3.9,24:40,--,1990-12-18,Ornskoldsvik,--,SWE,SWE,79,245,2009,1,2,20102011,N,Playoffs
Danton Heinen,20212022,PIT,L,L,7,3,0,3,-1,4,0.43,2,2,1,1,0,0,0,1,18,16.7,15:31,50,1995-07-05,Langley,BC,CAN,CAN,74,195,2014,4,116,20172018,N,Playoffs
