Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Laurent Brossoit,20222023,VGK,L,11,10,7,0,--,3,317,294,23,0.927,2.17,636:02,0,0,0,0,0,1993-03-23,Port Alberni,BC,CAN,CAN,75,203,2011,6,164,20142015,N,Regular Season
Jack Campbell,20222023,EDM,L,36,34,21,9,--,4,1 027,912,115,0.888,3.41,2026:23,1,0,1,1,2,1992-01-09,Port Huron,MI,USA,USA,75,200,2010,1,11,20132014,N,Regular Season
Eric Comrie,20222023,BUF,L,19,19,9,9,--,1,594,526,68,0.886,3.67,1111:59,1,0,1,1,2,1995-07-06,Edmonton,AB,CAN,CAN,73,190,2013,2,59,20162017,N,Regular Season
Pheonix Copley,20222023,LAK,L,37,35,24,6,--,3,947,855,92,0.903,2.64,2089:29,1,0,1,1,19,1992-01-18,North Pole,AK,USA,USA,76,205,--,--,--,20152016,N,Regular Season
Joey Daccord,20222023,SEA,L,5,4,2,1,--,1,130,117,13,0.9,3.14,248:08,0,0,0,0,0,1996-08-19,Boston,MA,USA,USA,74,201,2015,7,199,20182019,N,Regular Season
Collin Delia,20222023,VAN,L,20,18,10,6,--,2,526,464,62,0.882,3.28,1135:40,0,0,1,1,0,1994-06-20,Rancho Cucamonga,CA,USA,USA,74,208,--,--,--,20172018,N,Regular Season
Aaron Dell,20222023,SJS,L,4,3,0,3,--,0,103,94,9,0.913,2.71,199:17,0,0,0,0,0,1989-05-04,Airdrie,AB,CAN,CAN,72,213,--,--,--,20162017,N,Regular Season
Thatcher Demko,20222023,VAN,L,32,32,14,14,--,4,1 005,906,99,0.901,3.16,1878:31,1,0,1,1,4,1995-12-08,San Diego,CA,USA,USA,76,192,2014,2,36,20172018,N,Regular Season
Casey DeSmith,20222023,PIT,L,38,33,15,16,--,4,1 142,1 033,109,0.905,3.17,2065:57,0,0,0,0,2,1991-08-13,Rochester,NH,USA,USA,72,180,--,--,--,20172018,N,Regular Season
Lukas Dostal,20222023,ANA,L,19,17,4,10,--,3,679,612,67,0.901,3.78,1062:43,0,0,0,0,0,2000-06-22,Brno,--,CZE,CZE,74,190,2018,3,85,20212022,N,Regular Season
Brian Elliott,20222023,TBL,L,22,22,12,8,--,2,689,614,75,0.891,3.4,1324:44,2,0,1,1,0,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,9,291,20072008,N,Regular Season
Olle Eriksson Ek,20222023,ANA,L,1,1,0,0,--,1,39,34,5,0.872,4.69,63:59,0,0,0,0,0,1999-06-22,Karlstad,--,SWE,SWE,75,189,2017,5,153,20222023,N,Regular Season
Samuel Ersson,20222023,PHI,L,12,10,6,3,--,0,327,294,33,0.899,3.07,644:55,1,0,0,0,0,1999-10-20,Falun,--,SWE,SWE,75,194,2018,5,143,20222023,N,Regular Season
Dylan Ferguson,20222023,OTT,L,2,2,1,1,--,0,83,78,5,0.94,2.52,118:52,0,0,0,0,0,1998-09-20,Lantzville,BC,CAN,CAN,74,194,2017,7,194,20172018,N,Regular Season
Marc-Andre Fleury,20222023,MIN,L,46,45,24,16,--,4,1 367,1 241,126,0.908,2.85,2654:17,2,0,1,1,2,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,1,1,20032004,N,Regular Season
Anton Forsberg,20222023,OTT,L,28,25,11,11,--,2,817,737,80,0.902,3.26,1471:43,2,0,0,0,2,1992-11-27,Härnösand,--,SWE,SWE,75,198,2011,7,188,20142015,N,Regular Season
Pavel Francouz,20222023,COL,R,16,16,8,7,--,1,493,451,42,0.915,2.61,964:32,1,0,1,1,0,1990-06-03,Plzen,--,CZE,CZE,72,179,--,--,--,20182019,N,Regular Season
Alexandar Georgiev,20222023,COL,L,62,62,40,16,--,6,1 904,1 749,156,0.919,2.53,3700:20,5,0,1,1,0,1996-02-10,Ruse,--,BGR,RUS,73,178,--,--,--,20172018,N,Regular Season
John Gibson,20222023,ANA,L,53,52,14,31,--,8,1 983,1 783,200,0.899,3.99,3004:55,1,0,2,2,12,1993-07-14,Pittsburgh,PA,USA,USA,74,214,2011,2,39,20132014,N,Regular Season
Jon Gillies,20222023,CBJ,L,3,2,1,1,--,0,66,57,9,0.864,4.57,118:09,0,0,0,0,0,1994-01-22,Concord,NH,USA,USA,78,223,2012,3,75,20162017,N,Regular Season
Jet Greaves,20222023,CBJ,L,1,1,0,1,--,0,49,46,3,0.939,3.05,58:57,0,0,0,0,0,2001-03-30,Cambridge,ON,CAN,CAN,72,190,--,--,--,20222023,N,Regular Season
Thomas Greiss,20222023,STL,L,21,16,7,10,--,0,626,561,66,0.896,3.64,1089:21,1,0,0,0,0,1986-01-29,Fussen,--,DEU,DEU,74,219,2004,3,94,20072008,N,Regular Season
Philipp Grubauer,20222023,SEA,L,39,36,17,14,--,4,930,832,98,0.895,2.85,2065:37,0,0,1,1,0,1991-11-25,Rosenheim,--,DEU,DEU,73,188,2010,4,112,20122013,N,Regular Season
Filip Gustavsson,20222023,MIN,L,39,37,22,9,--,7,1 173,1 092,81,0.931,2.1,2310:56,3,0,1,1,0,1998-06-07,Skelleftea,--,SWE,SWE,74,184,2016,2,55,20202021,N,Regular Season
Jaroslav Halak,20222023,NYR,L,25,24,10,9,--,5,680,614,66,0.903,2.72,1453:56,1,0,1,1,0,1985-05-13,Bratislava,--,SVK,SVK,71,189,2003,9,271,20062007,N,Regular Season
Carter Hart,20222023,PHI,L,55,54,22,23,--,10,1 665,1 510,155,0.907,2.94,3163:46,2,0,0,0,0,1998-08-13,Sherwood Park,AB,CAN,CAN,74,196,2016,2,48,20182019,N,Regular Season
Magnus Hellberg,20222023,"OTT,DET",L,18,14,5,8,--,1,447,397,50,0.888,3.2,936:21,0,0,0,0,0,1991-04-04,Uppsala,--,SWE,SWE,78,206,2011,2,38,20132014,N,Regular Season
Connor Hellebuyck,20222023,WPG,L,64,64,37,25,--,2,1 964,1 807,157,0.92,2.49,3778:00,4,0,0,0,0,1993-05-19,Commerce,MI,USA,USA,76,207,2012,5,130,20152016,N,Regular Season
Adin Hill,20222023,VGK,L,27,25,16,7,--,1,721,660,62,0.915,2.5,1490:54,0,0,1,1,2,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,3,76,20172018,N,Regular Season
Joel Hofer,20222023,STL,L,6,6,3,1,--,1,179,162,17,0.905,3.22,317:12,0,0,0,0,0,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,4,107,20212022,N,Regular Season
Ville Husso,20222023,DET,L,56,56,26,22,--,7,1 603,1 436,167,0.896,3.11,3220:14,4,0,0,0,0,1995-02-06,Helsinki,--,FIN,FIN,75,205,2014,4,94,20202021,N,Regular Season
Michael Hutchinson,20222023,CBJ,R,16,10,2,6,--,3,432,379,54,0.877,4.29,755:27,0,0,1,1,0,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,3,77,20132014,N,Regular Season
Connor Ingram,20222023,ARI,L,27,26,6,13,--,8,960,871,89,0.907,3.37,1586:40,1,0,0,0,2,1997-03-31,Saskatoon,SK,CAN,CAN,73,218,2016,3,88,20212022,N,Regular Season
Tristan Jarry,20222023,PIT,L,47,47,24,13,--,7,1 414,1 286,128,0.909,2.9,2650:02,2,0,2,2,2,1995-04-29,Surrey,BC,CAN,CAN,74,195,2013,2,44,20162017,N,Regular Season
Jonas Johansson,20222023,COL,L,3,2,2,0,--,0,73,68,5,0.932,2.1,142:57,0,0,0,0,0,1995-09-19,Gavle,--,SWE,SWE,77,218,2014,3,61,20192020,N,Regular Season
Martin Jones,20222023,SEA,L,48,42,27,13,--,3,1 145,1 016,131,0.887,2.99,2625:39,3,0,0,0,0,1990-01-10,North Vancouver,BC,CAN,CAN,77,203,--,--,--,20132014,N,Regular Season
Kaapo Kahkonen,20222023,SJS,L,37,37,9,20,--,7,1 149,1 014,135,0.883,3.85,2106:15,1,0,0,0,0,1996-08-16,Helsinki,--,FIN,FIN,74,217,2014,4,109,20192020,N,Regular Season
Erik Kallgren,20222023,TOR,L,10,9,3,2,--,4,246,221,25,0.898,2.67,561:40,0,0,0,0,0,1996-10-14,Stockholm,--,SWE,SWE,75,200,2015,7,183,20212022,N,Regular Season
Anton Khudobin,20222023,CHI,L,1,1,0,1,--,0,28,22,6,0.786,6,60:00,0,0,0,0,0,1986-05-07,Ust-Kamenogorsk,--,KAZ,RUS,71,210,2004,7,206,20092010,N,Regular Season
Keith Kinkaid,20222023,"BOS,COL",L,2,1,1,0,--,0,40,38,2,0.95,1.37,87:51,0,0,0,0,0,1989-07-04,Farmingville,NY,USA,USA,74,195,--,--,--,20122013,N,Regular Season
Spencer Knight,20222023,FLA,L,21,19,9,8,--,3,627,565,62,0.901,3.18,1168:45,1,0,1,1,0,2001-04-19,Darien,CT,USA,USA,75,191,2019,1,13,20202021,N,Regular Season
Pyotr Kochetkov,20222023,CAR,L,24,23,12,7,--,5,627,570,57,0.909,2.44,1403:56,4,0,0,0,0,1999-06-25,Penza,--,RUS,RUS,75,193,2019,2,36,20212022,N,Regular Season
Joonas Korpisalo,20222023,"CBJ,LAK",L,39,37,18,14,--,4,1 206,1 103,104,0.915,2.87,2171:57,1,0,0,0,0,1994-04-28,Pori,--,FIN,FIN,75,199,2012,3,62,20152016,N,Regular Season
Darcy Kuemper,20222023,WSH,L,57,56,22,26,--,7,1 674,1 521,154,0.909,2.87,3223:47,5,0,0,0,4,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,6,161,20122013,N,Regular Season
Kevin Lankinen,20222023,NSH,L,19,18,9,8,--,1,583,534,49,0.916,2.75,1069:10,0,0,0,0,2,1995-04-28,Helsinki,--,FIN,FIN,74,190,--,--,--,20202021,N,Regular Season
Devon Levi,20222023,BUF,L,7,7,5,2,--,0,222,201,21,0.905,2.94,429:01,0,0,0,0,0,2001-12-27,Dollard-des-Ormeaux,QC,CAN,CAN,72,192,2020,7,212,20222023,N,Regular Season
Charlie Lindgren,20222023,WSH,R,31,26,13,11,--,3,853,767,86,0.899,3.05,1692:04,0,0,1,1,0,1993-12-18,Lakeville,MN,USA,USA,74,179,--,--,--,20152016,N,Regular Season
Ukko-Pekka Luukkonen,20222023,BUF,L,33,32,17,11,--,4,1 054,940,115,0.892,3.61,1910:13,0,0,1,1,2,1999-03-09,Espoo,--,FIN,FIN,77,223,2017,2,54,20202021,N,Regular Season
Alex Lyon,20222023,FLA,L,15,14,9,4,--,2,488,446,43,0.914,2.89,893:11,1,0,0,0,0,1992-12-09,Baudette,MN,USA,USA,73,196,--,--,--,20172018,N,Regular Season
Eetu Makiniemi,20222023,SJS,L,2,1,1,0,--,1,32,29,3,0.906,2.13,84:20,0,0,0,0,0,1999-04-19,Vantaa,--,FIN,FIN,74,184,2017,4,104,20222023,N,Regular Season
Kevin Mandolese,20222023,OTT,L,3,3,1,2,--,0,119,109,10,0.916,3.29,182:12,0,0,0,0,0,2000-08-22,Blainville,QC,CAN,CAN,76,180,2018,6,157,20222023,N,Regular Season
Jacob Markstrom,20222023,CGY,L,59,58,23,21,--,12,1 542,1 376,166,0.892,2.92,3410:50,1,0,2,2,14,1990-01-31,Gavle,--,SWE,SWE,78,207,2008,2,31,20102011,N,Regular Season
Spencer Martin,20222023,VAN,L,29,27,11,15,--,1,830,723,107,0.871,3.99,1610:11,0,0,0,0,0,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,3,63,20162017,N,Regular Season
Leevi Meriläinen,20222023,OTT,L,2,2,0,1,--,1,49,43,6,0.878,4.23,85:05,0,0,0,0,0,2002-08-13,Oulu,--,FIN,FIN,75,186,2020,3,71,20222023,N,Regular Season
Elvis Merzlikins,20222023,CBJ,L,30,27,7,18,--,2,889,779,110,0.876,4.23,1560:12,0,0,1,1,4,1994-04-13,Riga,--,LVA,LVA,75,190,2014,3,76,20192020,N,Regular Season
Sam Montembeault,20222023,MTL,L,40,39,16,19,--,3,1 345,1 212,133,0.901,3.42,2333:51,0,0,0,0,0,1996-10-30,Becancour,QC,CAN,CAN,75,218,2015,3,77,20182019,N,Regular Season
Petr Mrazek,20222023,CHI,L,39,38,10,22,--,3,1 248,1 116,132,0.894,3.66,2165:10,0,0,2,2,4,1992-02-14,Ostrava,--,CZE,CZE,74,188,2010,5,141,20122013,N,Regular Season
Matt Murray,20222023,TOR,L,26,26,14,8,--,2,761,687,74,0.903,3.01,1473:10,1,0,0,0,0,1994-05-25,Thunder Bay,ON,CAN,CAN,77,220,2012,3,83,20152016,N,Regular Season
Matt Murray,20222023,DAL,L,3,3,1,2,--,0,64,54,10,0.844,3.39,177:02,0,0,0,0,0,1998-02-02,St. Albert,AB,CAN,CAN,73,196,--,--,--,20222023,N,Regular Season
Alex Nedeljkovic,20222023,DET,L,15,13,5,7,--,2,466,417,49,0.895,3.53,832:38,0,0,0,0,2,1996-01-07,Parma,OH,USA,USA,72,203,2014,2,37,20162017,N,Regular Season
Jake Oettinger,20222023,DAL,L,62,61,37,11,--,11,1 776,1 633,144,0.919,2.37,3644:53,5,0,1,1,2,1998-12-18,Lakeville,MN,USA,USA,78,224,2017,1,26,20202021,N,Regular Season
Jiri Patera,20222023,VGK,L,2,2,2,0,--,0,70,65,5,0.929,2.5,120:00,0,0,0,0,0,1999-02-24,Praha,--,CZE,CZE,75,212,2017,6,161,20222023,N,Regular Season
Cal Petersen,20222023,LAK,R,10,9,5,3,--,2,257,223,34,0.868,3.75,543:28,0,0,0,0,0,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,5,129,20182019,N,Regular Season
Cayden Primeau,20222023,MTL,L,3,2,0,2,--,0,54,46,8,0.852,3.46,138:35,0,0,0,0,0,1999-08-11,Farmington Hills,MI,USA,USA,75,205,2017,7,199,20192020,N,Regular Season
Ivan Prosvetov,20222023,ARI,L,7,7,4,3,--,0,234,206,28,0.88,3.98,422:02,0,0,0,0,0,1999-03-05,Moscow,--,RUS,RUS,77,195,2018,4,114,20202021,N,Regular Season
Jonathan Quick,20222023,"LAK,VGK",L,41,36,16,15,--,6,1 080,953,127,0.882,3.41,2234:45,2,0,0,0,4,1986-01-21,Milford,CT,USA,USA,73,220,2005,3,72,20072008,N,Regular Season
Antti Raanta,20222023,CAR,L,27,26,19,3,--,3,644,586,58,0.91,2.23,1561:13,4,0,0,0,0,1989-05-12,Rauma,--,FIN,FIN,72,195,--,--,--,20132014,N,Regular Season
James Reimer,20222023,SJS,L,43,41,12,21,--,8,1 335,1 188,147,0.89,3.48,2538:00,3,0,0,0,2,1988-03-15,Morweena,MB,CAN,CAN,74,200,2006,4,99,20102011,N,Regular Season
David Rittich,20222023,WPG,L,21,18,9,8,--,1,506,456,50,0.901,2.67,1121:41,0,0,0,0,2,1992-08-19,Jihlava,--,CZE,CZE,76,205,--,--,--,20162017,N,Regular Season
Ilya Samsonov,20222023,TOR,L,42,40,27,10,--,5,1 184,1 088,96,0.919,2.33,2475:36,4,0,2,2,0,1997-02-22,Magnitogorsk,--,RUS,RUS,75,208,2015,1,22,20192020,N,Regular Season
Felix Sandstrom,20222023,PHI,L,20,18,3,12,--,3,575,506,69,0.88,3.72,1112:51,0,0,0,0,0,1997-01-12,Gavle,--,SWE,SWE,74,211,2015,3,70,20212022,N,Regular Season
Juuse Saros,20222023,NSH,L,64,63,33,23,--,7,2 099,1 928,171,0.919,2.69,3809:59,2,0,1,1,0,1995-04-19,Forssa,--,FIN,FIN,71,180,2013,4,99,20152016,N,Regular Season
Akira Schmid,20222023,NJD,L,18,14,9,5,--,2,408,376,32,0.922,2.13,901:21,1,0,0,0,0,2000-05-12,Bern,--,CHE,CHE,77,190,2018,5,136,20212022,N,Regular Season
Igor Shesterkin,20222023,NYR,L,58,58,37,13,--,8,1 719,1 575,144,0.916,2.48,3488:46,3,0,1,1,2,1995-12-30,Moscow,--,RUS,RUS,73,195,2014,4,118,20192020,N,Regular Season
Arturs Silovs,20222023,VAN,L,5,5,3,2,--,0,152,138,14,0.908,2.75,305:56,0,0,0,0,0,2001-03-22,Riga,--,LVA,LVA,76,203,2019,6,156,20222023,N,Regular Season
Stuart Skinner,20222023,EDM,L,50,48,29,14,--,5,1 536,1 404,133,0.914,2.75,2903:05,1,0,2,2,0,1998-11-01,Edmonton,AB,CAN,CAN,76,230,2017,3,78,20202021,N,Regular Season
Arvid Soderblom,20222023,CHI,L,15,13,2,10,--,2,453,405,48,0.894,3.45,835:14,0,0,0,0,0,1999-08-19,Göteborg,--,SWE,SWE,75,180,--,--,--,20212022,N,Regular Season
Mads Sogaard,20222023,OTT,L,19,17,8,6,--,3,524,466,58,0.889,3.32,1047:30,0,0,1,1,0,2000-12-13,Aalborg,--,DNK,DNK,79,217,2019,2,37,20212022,N,Regular Season
Ilya Sorokin,20222023,NYI,L,62,60,31,22,--,7,1 838,1 699,140,0.924,2.34,3587:04,6,0,1,1,0,1995-08-04,Mezhdurechensk,--,RUS,RUS,76,211,2014,3,78,20202021,N,Regular Season
Alex Stalock,20222023,CHI,L,27,24,9,15,--,2,804,730,74,0.908,3.01,1475:20,2,0,0,0,16,1987-07-28,Saint Paul,MN,USA,USA,71,170,2005,4,112,20102011,N,Regular Season
Jaxson Stauber,20222023,CHI,L,6,6,5,1,--,0,191,174,17,0.911,2.81,363:30,0,0,0,0,0,1999-04-27,Wayzata,MN,USA,USA,75,174,--,--,--,20222023,N,Regular Season
Anthony Stolarz,20222023,ANA,L,19,12,5,6,--,0,494,444,51,0.899,3.73,820:03,0,0,0,0,0,1994-01-20,Edison,NJ,USA,USA,78,243,2012,2,45,20162017,N,Regular Season
Jeremy Swayman,20222023,BOS,L,37,33,24,6,--,4,953,877,76,0.92,2.27,2012:59,4,0,0,0,2,1998-11-24,Anchorage,AK,USA,USA,75,195,2017,4,111,20202021,N,Regular Season
Cam Talbot,20222023,OTT,L,36,32,17,14,--,2,935,840,95,0.898,2.93,1947:00,1,0,0,0,0,1987-07-05,Caledonia,ON,CAN,CAN,76,200,--,--,--,20132014,N,Regular Season
Daniil Tarasov,20222023,CBJ,L,17,16,4,11,--,1,528,471,57,0.892,3.91,874:08,0,0,1,1,0,1999-03-27,Novokuznetsk,--,RUS,RUS,77,203,2017,3,86,20212022,N,Regular Season
Logan Thompson,20222023,VGK,R,37,36,21,13,--,3,1 132,1 036,96,0.915,2.65,2171:22,2,0,0,0,2,1997-02-25,Calgary,AB,CAN,CAN,76,205,--,--,--,20202021,N,Regular Season
Dustin Tokarski,20222023,PIT,L,4,2,1,2,--,0,117,105,12,0.897,3.44,209:24,0,0,0,0,0,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,5,122,20092010,N,Regular Season
Linus Ullmark,20222023,BOS,L,49,48,40,6,--,1,1 457,1 366,91,0.938,1.89,2882:12,2,1,0,1,2,1993-07-31,Lugnvik,--,SWE,SWE,76,215,2012,6,163,20152016,N,Regular Season
Vitek Vanecek,20222023,NJD,L,52,48,33,11,--,4,1 333,1 214,119,0.911,2.45,2915:34,3,0,3,3,2,1996-01-09,Havlickuv Brod,--,CZE,CZE,74,184,2014,2,39,20202021,N,Regular Season
Semyon Varlamov,20222023,NYI,L,23,22,11,9,--,2,689,629,60,0.913,2.7,1334:44,2,0,0,0,0,1988-04-27,Samara,--,RUS,RUS,74,201,2006,1,23,20082009,N,Regular Season
Andrei Vasilevskiy,20222023,TBL,L,60,60,34,22,--,4,1 875,1 716,159,0.915,2.65,3596:25,4,0,2,2,0,1994-07-25,Tyumen,--,RUS,RUS,76,228,2012,1,19,20142015,N,Regular Season
Karel Vejmelka,20222023,ARI,R,50,49,18,24,--,6,1 670,1 503,168,0.9,3.43,2940:50,3,0,0,0,2,1996-05-25,Trebic,--,CZE,CZE,76,221,2015,5,145,20212022,N,Regular Season
Dan Vladar,20222023,CGY,L,27,23,14,6,--,5,667,597,72,0.895,2.91,1483:55,0,0,0,0,2,1997-08-20,Prague,--,CZE,CZE,77,209,2015,3,75,20202021,N,Regular Season
Scott Wedgewood,20222023,DAL,L,21,18,9,8,--,3,603,552,51,0.915,2.72,1126:46,1,0,0,0,0,1992-08-14,Brampton,ON,CAN,CAN,74,201,2010,3,84,20152016,N,Regular Season
Dylan Wells,20222023,CHI,L,1,0,0,0,--,0,13,12,1,0.923,3,20:00,0,0,0,0,0,1998-01-03,St. Catharines,ON,CAN,CAN,74,190,2016,5,123,20222023,N,Regular Season
Dustin Wolf,20222023,CGY,L,1,1,1,0,--,0,24,23,1,0.958,1,59:54,0,0,0,0,0,2001-04-16,Gilroy,CA,USA,USA,72,166,2019,7,214,20222023,N,Regular Season
Joseph Woll,20222023,TOR,L,7,7,6,1,--,0,219,204,15,0.932,2.16,416:26,0,0,0,0,0,1998-07-12,Dardenne Prairie,MO,USA,USA,75,206,2016,3,62,20212022,N,Regular Season
