Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Tyler Bertuzzi,20232024,TOR,L,L,7,1,3,4,2,6,0.57,1,3,0,1,0,0,0,0,21,4.8,18:35,0,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20222023,N,Playoffs
Teddy Blueger,20232024,VAN,L,C,13,0,2,2,-3,6,0.15,0,2,0,0,0,0,0,0,4,0,13:15,54.2,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,Playoffs
Brock Boeser,20232024,VAN,R,R,12,7,5,12,2,8,1,6,10,1,2,0,0,0,1,27,25.9,20:18,50,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20192020,N,Playoffs
Jesper Boqvist,20232024,BOS,L,C,8,0,1,1,0,0,0.13,0,1,0,0,0,0,0,0,4,0,9:57,53.3,1998-10-30,Falun,--,SWE,SWE,73,190,2017,2,36,20222023,N,Playoffs
Robert Bortuzzo,20232024,NYI,R,D,5,0,1,1,-3,14,0.2,0,1,0,0,0,0,0,0,0,--,13:34,--,1989-03-18,Thunder Bay,ON,CAN,CAN,76,206,2007,3,78,20132014,N,Playoffs
Evan Bouchard,20232024,EDM,R,D,25,6,26,32,14,22,1.28,5,18,1,14,0,0,1,3,74,8.1,25:01,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20212022,N,Playoffs
Mavrik Bourque,20232024,DAL,R,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7:56,--,2002-01-08,Plessisville,QC,CAN,CAN,71,181,2020,1,30,20232024,N,Playoffs
Justin Brazeau,20232024,BOS,R,R,9,1,1,2,1,12,0.22,1,2,0,0,0,0,0,0,11,9.1,11:56,0,1998-02-02,New Liskeard,ON,CAN,CAN,78,227,--,--,--,20232024,N,Playoffs
Philip Broberg,20232024,EDM,L,D,10,2,1,3,8,0,0.3,2,3,0,0,0,0,0,0,6,33.3,15:48,--,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,Playoffs
TJ Brodie,20232024,TOR,L,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,17:10,--,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20142015,N,Playoffs
Jonny Brodzinski,20232024,NYR,R,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,8:36,50,1993-06-19,Ham Lake,MN,USA,USA,72,211,2013,5,148,20212022,N,Playoffs
Connor Brown,20232024,EDM,R,R,19,2,4,6,4,6,0.32,1,3,0,0,1,3,0,0,14,14.3,11:55,50,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20162017,N,Playoffs
Patrick Brown,20232024,BOS,R,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,8:27,71.4,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20182019,N,Playoffs
Brent Burns,20232024,CAR,R,D,11,1,3,4,4,2,0.36,1,3,0,1,0,0,0,0,24,4.2,22:46,--,1985-03-09,Barrie,ON,CAN,CAN,77,228,2003,1,20,20062007,N,Playoffs
Quinton Byfield,20232024,LAK,L,R,5,0,4,4,4,4,0.8,0,4,0,0,0,0,0,0,8,0,16:12,50,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20212022,N,Playoffs
Brandon Carlo,20232024,BOS,R,D,13,3,1,4,4,6,0.31,3,4,0,0,0,0,0,1,20,15,19:54,--,1996-11-26,Colorado Springs,CO,USA,USA,77,220,2015,2,37,20182019,N,Playoffs
John Carlson,20232024,WSH,R,D,4,1,1,2,-1,2,0.5,1,1,0,1,0,0,0,0,14,7.1,29:12,--,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,Playoffs
Sam Carrick,20232024,EDM,R,C,10,0,1,1,-1,12,0.1,0,1,0,0,0,0,0,0,4,0,9:15,53.3,1992-02-04,Markham,ON,CAN,CAN,72,202,2010,5,144,20232024,N,Playoffs
Alexandre Carrier,20232024,NSH,R,D,6,1,2,3,-1,0,0.5,1,3,0,0,0,0,0,1,8,12.5,21:07,--,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20202021,N,Playoffs
William Carrier,20232024,VGK,L,L,7,1,0,1,1,6,0.14,1,1,0,0,0,0,0,0,9,11.1,10:43,0,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20172018,N,Playoffs
Cody Ceci,20232024,EDM,R,D,24,2,3,5,-5,0,0.21,2,5,0,0,0,0,0,0,24,8.3,19:22,--,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20142015,N,Playoffs
Erik Cernak,20232024,TBL,R,D,5,0,1,1,0,2,0.2,0,1,0,0,0,0,0,0,2,0,20:39,--,1997-05-28,Kosice,--,SVK,SVK,76,230,2015,2,43,20182019,N,Playoffs
Mitchell Chaffee,20232024,TBL,R,R,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,4,0,11:56,--,1998-01-26,Grand Rapids,MI,USA,USA,73,204,--,--,--,20232024,N,Playoffs
Jalen Chatfield,20232024,CAR,R,D,11,0,2,2,-1,12,0.18,0,2,0,0,0,0,0,0,15,0,20:12,--,1996-05-15,Ypsilanti,MI,USA,USA,73,199,--,--,--,20222023,N,Playoffs
Filip Chytil,20232024,NYR,L,C,6,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,8,0,12:55,28.6,1999-09-05,Kromeriz,--,CZE,CZE,74,210,2017,1,21,20192020,N,Playoffs
Anthony Cirelli,20232024,TBL,L,C,5,0,2,2,-6,0,0.4,0,2,0,0,0,0,0,0,5,0,18:31,40.7,1997-07-15,Etobicoke,ON,CAN,CAN,73,191,2015,3,72,20172018,N,Playoffs
Casey Cizikas,20232024,NYI,L,C,5,1,1,2,-1,14,0.4,1,2,0,0,0,0,0,0,5,20,15:56,20,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20122013,N,Playoffs
Cal Clutterbuck,20232024,NYI,R,R,5,0,0,0,-3,10,0,0,0,0,0,0,0,0,0,1,0,9:05,0,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20122013,N,Playoffs
Andrew Cogliano,20232024,COL,L,C,11,0,5,5,2,2,0.45,0,4,0,0,0,1,0,0,3,0,8:38,27.3,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20122013,N,Playoffs
Ian Cole,20232024,VAN,L,D,13,0,2,2,-3,6,0.15,0,2,0,0,0,0,0,0,4,0,16:49,--,1989-02-21,Ann Arbor,MI,USA,USA,73,237,2007,1,18,20112012,N,Playoffs
Ross Colton,20232024,COL,L,C,11,1,3,4,2,2,0.36,1,4,0,0,0,0,0,0,14,7.1,13:01,48.2,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,Playoffs
Maxime Comtois,20232024,CAR,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:19,--,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,2,50,20232024,N,Playoffs
Kyle Connor,20232024,WPG,L,L,5,3,2,5,-2,4,1,2,4,1,1,0,0,0,1,19,15.8,20:47,--,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20172018,N,Playoffs
Nick Cousins,20232024,FLA,L,C,12,0,1,1,-1,20,0.08,0,1,0,0,0,0,0,0,9,0,8:42,0,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20152016,N,Playoffs
Charlie Coyle,20232024,BOS,R,C,13,1,4,5,0,12,0.38,1,3,0,2,0,0,0,0,20,5,18:49,48,1992-03-02,East Weymouth,MA,USA,USA,75,215,2010,1,28,20122013,N,Playoffs
Maxwell Crozier,20232024,TBL,R,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,4,0,14:15,--,2000-04-19,Calgary,AB,CAN,CAN,75,198,2019,4,120,20232024,N,Playoffs
Will Cuylle,20232024,NYR,L,L,16,1,1,2,3,8,0.13,1,2,0,0,0,0,0,0,18,5.6,11:17,100,2002-02-05,Toronto,ON,CAN,CAN,75,212,2020,2,60,20232024,N,Playoffs
Evgenii Dadonov,20232024,DAL,L,R,19,3,4,7,0,2,0.37,3,7,0,0,0,0,0,0,26,11.5,12:55,--,1989-03-12,Chelyabinsk,--,RUS,RUS,71,188,2007,3,71,20192020,N,Playoffs
Phillip Danault,20232024,LAK,L,C,5,0,1,1,0,4,0.2,0,1,0,0,0,0,0,0,9,0,17:16,45.6,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20162017,N,Playoffs
Calvin de Haan,20232024,TBL,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,10:50,--,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20142015,N,Playoffs
Tony DeAngelo,20232024,CAR,R,D,9,0,2,2,-1,6,0.22,0,2,0,0,0,0,0,0,16,0,17:03,--,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20192020,N,Playoffs
Jake DeBrusk,20232024,BOS,L,L,13,5,6,11,-5,2,0.85,2,6,3,5,0,0,0,0,26,19.2,18:01,0,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,Playoffs
Ty Dellandrea,20232024,DAL,R,C,6,1,0,1,0,2,0.17,1,1,0,0,0,0,0,1,8,12.5,10:45,30.4,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20212022,N,Playoffs
Dylan DeMelo,20232024,WPG,R,D,5,0,1,1,-1,2,0.2,0,1,0,0,0,0,0,0,5,0,22:24,--,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20172018,N,Playoffs
Vincent Desharnais,20232024,EDM,R,D,16,0,1,1,-9,22,0.06,0,1,0,0,0,0,0,0,7,0,17:15,--,1996-05-29,Laval,QC,CAN,CAN,79,226,2016,7,183,20222023,N,Playoffs
Connor Dewar,20232024,TOR,L,C,6,0,1,1,-1,0,0.17,0,1,0,0,0,0,0,0,6,0,11:10,0,1999-06-26,The Pas,MB,CAN,CAN,70,192,2018,3,92,20212022,N,Playoffs
Phillip Di Giuseppe,20232024,VAN,L,L,11,1,1,2,1,2,0.18,1,2,0,0,0,0,0,0,8,12.5,10:23,--,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20192020,N,Playoffs
Brenden Dillon,20232024,WPG,L,D,3,0,3,3,1,4,1,0,3,0,0,0,0,0,0,1,0,21:04,--,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20132014,N,Playoffs
Noah Dobson,20232024,NYI,R,D,5,0,1,1,-1,6,0.2,0,0,0,1,0,0,0,0,6,0,24:06,--,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,Playoffs
Max Domi,20232024,TOR,L,C,7,1,3,4,1,6,0.57,1,4,0,0,0,0,0,0,17,5.9,16:57,66.7,1995-03-02,Winnipeg,MB,CAN,CAN,70,209,2013,1,12,20192020,N,Playoffs
Pavel Dorofeyev,20232024,VGK,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,7:11,0,2000-10-26,Nizhny Tagil,--,RUS,RUS,73,194,2019,3,79,20232024,N,Playoffs
Drew Doughty,20232024,LAK,R,D,5,2,1,3,-4,14,0.6,2,3,0,0,0,0,0,0,6,33.3,27:18,--,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20092010,N,Playoffs
Nic Dowd,20232024,WSH,R,C,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,13:57,48.3,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20182019,N,Playoffs
Leon Draisaitl,20232024,EDM,L,C,25,10,21,31,0,14,1.24,4,16,6,15,0,0,0,2,73,13.7,21:24,49.7,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20162017,N,Playoffs
Jonathan Drouin,20232024,COL,L,L,3,0,3,3,-1,2,1,0,1,0,2,0,0,0,0,4,0,24:16,46.2,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,Playoffs
Jack Drury,20232024,CAR,L,C,11,1,4,5,7,2,0.45,1,5,0,0,0,0,0,1,21,4.8,13:06,62.1,2000-02-03,New York,NY,USA,USA,71,186,2018,2,42,20222023,N,Playoffs
Pierre-Luc Dubois,20232024,LAK,L,L,5,1,0,1,0,20,0.2,1,1,0,0,0,0,0,0,4,25,14:50,47.6,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,Playoffs
Matt Duchene,20232024,DAL,L,C,19,2,4,6,0,6,0.32,1,4,1,2,0,0,1,1,27,7.4,17:10,51.7,1991-01-16,Haliburton,ON,CAN,CAN,71,212,2009,1,3,20092010,N,Playoffs
Anthony Duclair,20232024,TBL,L,L,5,0,2,2,-3,0,0.4,0,2,0,0,0,0,0,0,5,0,13:26,0,1995-08-26,Pointe-Claire,QC,CAN,CAN,72,200,2013,3,80,20202021,N,Playoffs
Brandon Duhaime,20232024,COL,L,R,11,1,0,1,-2,8,0.09,1,1,0,0,0,0,0,0,6,16.7,7:46,--,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,Playoffs
Mathew Dumba,20232024,TBL,R,D,5,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,7,0,15:38,--,1994-07-25,Regina,SK,CAN,CAN,73,185,2012,1,7,20142015,N,Playoffs
Joel Edmundson,20232024,TOR,L,D,7,0,1,1,-1,6,0.14,0,1,0,0,0,0,0,0,7,0,18:40,--,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,Playoffs
Nikolaj Ehlers,20232024,WPG,L,L,5,0,2,2,-4,0,0.4,0,2,0,0,0,0,0,0,14,0,15:52,--,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20172018,N,Playoffs
Jack Eichel,20232024,VGK,R,C,7,3,4,7,0,0,1,2,4,0,2,1,1,0,0,23,13,21:21,50.5,1996-10-28,North Chelmsford,MA,USA,USA,74,206,2015,1,2,20222023,N,Playoffs
Aaron Ekblad,20232024,FLA,R,D,24,1,5,6,4,16,0.25,1,5,0,0,0,1,0,0,33,3,22:33,--,1996-02-07,Windsor,ON,CAN,CAN,76,220,2014,1,1,20152016,N,Playoffs
Mattias Ekholm,20232024,EDM,L,D,25,5,5,10,9,6,0.4,4,9,1,1,0,0,0,0,45,11.1,21:58,--,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20142015,N,Playoffs
Oliver Ekman-Larsson,20232024,FLA,L,D,24,2,4,6,1,24,0.25,2,2,0,4,0,0,0,0,27,7.4,15:27,--,1991-07-17,Karlskrona,--,SWE,SWE,74,192,2009,1,6,20112012,N,Playoffs
Andreas Englund,20232024,LAK,L,D,5,0,1,1,1,9,0.2,0,1,0,0,0,0,0,0,0,--,13:05,--,1996-01-21,Stockholm,--,SWE,SWE,76,200,2014,2,40,20232024,N,Playoffs
Pierre Engvall,20232024,NYI,L,L,5,1,1,2,-1,0,0.4,1,1,0,1,0,0,0,0,9,11.1,16:22,41.7,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,Playoffs
Luke Evangelista,20232024,NSH,R,R,6,1,0,1,0,2,0.17,1,1,0,0,0,0,0,0,14,7.1,13:23,--,2002-02-21,Toronto,ON,CAN,CAN,72,183,2020,2,42,20232024,N,Playoffs
Michael Eyssimont,20232024,TBL,L,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,11,0,12:49,0,1996-09-09,Littleton,CO,USA,USA,72,191,2016,5,142,20222023,N,Playoffs
Dante Fabbro,20232024,NSH,R,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13:25,--,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,Playoffs
Radek Faksa,20232024,DAL,L,C,8,1,0,1,-1,2,0.13,1,1,0,0,0,0,0,1,8,12.5,11:55,46.8,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,Playoffs
Hudson Fasching,20232024,NYI,R,R,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,13:45,--,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20222023,N,Playoffs
Martin Fehervary,20232024,WSH,L,D,4,2,1,3,0,2,0.75,2,3,0,0,0,0,0,0,8,25,21:45,--,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,Playoffs
Kevin Fiala,20232024,LAK,L,L,5,1,1,2,1,4,0.4,1,2,0,0,0,0,0,0,16,6.3,18:36,--,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,Playoffs
Warren Foegele,20232024,EDM,L,L,22,3,5,8,-7,25,0.36,3,8,0,0,0,0,0,0,36,8.3,12:02,0,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20182019,N,Playoffs
Derek Forbort,20232024,BOS,L,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17:49,--,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20192020,N,Playoffs
Filip Forsberg,20232024,NSH,R,L,6,2,4,6,0,2,1,2,4,0,2,0,0,0,1,17,11.8,20:26,100,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20142015,N,Playoffs
Gustav Forsling,20232024,FLA,L,D,24,4,9,13,9,12,0.54,4,12,0,0,0,1,0,1,51,7.8,23:25,--,1996-06-12,Linkoping,--,SWE,SWE,73,199,2014,5,126,20202021,N,Playoffs
Adam Fox,20232024,NYR,R,D,16,0,8,8,5,8,0.5,0,5,0,3,0,0,0,0,25,0,23:58,--,1998-02-17,Jericho,NY,USA,USA,71,180,2016,3,66,20192020,N,Playoffs
Trent Frederic,20232024,BOS,L,C,13,3,2,5,5,20,0.38,3,5,0,0,0,0,0,0,18,16.7,13:23,36.7,1998-02-11,St. Louis,MO,USA,USA,75,221,2016,1,29,20212022,N,Playoffs
Conor Garland,20232024,VAN,R,R,13,3,2,5,0,2,0.38,3,5,0,0,0,0,0,1,24,12.5,15:05,--,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20192020,N,Playoffs
Vladislav Gavrikov,20232024,LAK,L,D,5,0,2,2,0,2,0.4,0,2,0,0,0,0,0,0,2,0,19:48,--,1995-11-21,Yaroslavl,--,RUS,RUS,75,220,2015,6,159,20182019,N,Playoffs
Morgan Geekie,20232024,BOS,R,C,13,4,1,5,0,6,0.38,3,4,1,1,0,0,0,0,19,21.1,16:39,45.8,1998-07-20,Strathclair,MB,CAN,CAN,75,208,2017,3,67,20192020,N,Playoffs
Samuel Girard,20232024,COL,L,D,9,0,3,3,3,0,0.33,0,3,0,0,0,0,0,0,9,0,22:58,--,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,Playoffs
Luke Glendening,20232024,TBL,R,C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9:04,56.8,1989-04-28,Grand Rapids,MI,USA,USA,71,190,--,--,--,20132014,N,Playoffs
Barclay Goodrow,20232024,NYR,L,C,16,6,2,8,3,12,0.5,4,6,0,0,2,2,1,2,15,40,13:09,43.2,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20172018,N,Playoffs
Noah Gregor,20232024,TOR,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,8:05,--,1998-07-28,Beaumont,AB,CAN,CAN,72,201,2016,4,111,20232024,N,Playoffs
Carl Grundstrom,20232024,LAK,L,R,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5:42,50,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20212022,N,Playoffs
Matt Grzelcyk,20232024,BOS,L,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,18:10,--,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20172018,N,Playoffs
Jake Guentzel,20232024,CAR,L,C,11,4,5,9,4,16,0.82,4,7,0,2,0,0,0,0,28,14.3,19:58,50,1994-10-06,Omaha,NE,USA,USA,71,178,2013,3,77,20162017,N,Playoffs
David Gustafsson,20232024,WPG,L,C,4,1,0,1,-1,2,0.25,1,1,0,0,0,0,0,0,4,25,7:42,55.6,2000-04-11,Tingsryd,--,SWE,SWE,74,196,2018,2,60,20222023,N,Playoffs
Erik Gustafsson,20232024,NYR,L,D,16,0,3,3,-3,8,0.19,0,2,0,1,0,0,0,0,13,0,18:09,--,1992-03-14,Nynashamn,--,SWE,SWE,73,189,2012,4,93,20152016,N,Playoffs
Brandon Hagel,20232024,TBL,L,L,5,3,2,5,-5,2,1,2,3,0,1,1,1,0,1,8,37.5,21:36,33.3,1998-08-27,Saskatoon,SK,CAN,CAN,74,180,2016,6,159,20212022,N,Playoffs
Nicolas Hague,20232024,VGK,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15:41,--,1998-12-05,Kitchener,ON,CAN,CAN,78,245,2017,2,34,20202021,N,Playoffs
Noah Hanifin,20232024,VGK,L,D,7,2,3,5,-2,0,0.71,2,2,0,3,0,0,0,2,12,16.7,23:43,--,1997-01-25,Boston,MA,USA,USA,75,206,2015,1,5,20182019,N,Playoffs
Thomas Harley,20232024,DAL,L,D,19,0,4,4,8,0,0.21,0,3,0,0,0,1,0,0,28,0,23:52,--,2001-08-19,Syracuse,NY,USA,USA,75,211,2019,1,18,20192020,N,Playoffs
Victor Hedman,20232024,TBL,L,D,5,1,6,7,-1,0,1.4,1,4,0,2,0,1,0,0,15,6.7,25:45,--,1990-12-18,Ornskoldsvik,--,SWE,SWE,79,245,2009,1,2,20102011,N,Playoffs
Danton Heinen,20232024,BOS,L,L,8,0,1,1,0,0,0.13,0,1,0,0,0,0,0,0,10,0,15:18,33.3,1995-07-05,Langley,BC,CAN,CAN,74,195,2014,4,116,20172018,N,Playoffs
Miro Heiskanen,20232024,DAL,L,D,19,6,10,16,0,8,0.84,3,9,3,7,0,0,0,0,44,13.6,28:11,--,1999-07-18,Espoo,--,FIN,FIN,74,197,2017,1,3,20182019,N,Playoffs
Adam Henrique,20232024,EDM,L,C,17,4,3,7,3,2,0.41,4,7,0,0,0,0,0,2,14,28.6,14:06,48.7,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,3,82,20112012,N,Playoffs
Tomas Hertl,20232024,VGK,L,C,7,1,0,1,-6,2,0.14,0,0,1,1,0,0,0,0,14,7.1,18:33,57.6,1993-11-12,Praha,--,CZE,CZE,75,220,2012,1,17,20132014,N,Playoffs
Roope Hintz,20232024,DAL,L,C,15,2,6,8,0,6,0.53,2,6,0,2,0,0,0,0,17,11.8,17:20,56.4,1996-11-17,Nokia,--,FIN,FIN,75,213,2015,2,49,20182019,N,Playoffs
Nils Hoglander,20232024,VAN,L,L,11,1,1,2,-2,2,0.18,1,2,0,0,0,0,0,0,8,12.5,10:00,--,2000-12-20,Bockträsk,--,SWE,SWE,69,185,2019,2,40,20232024,N,Playoffs
Dylan Holloway,20232024,EDM,L,L,25,5,2,7,4,8,0.28,5,7,0,0,0,0,0,0,29,17.2,11:30,30,2001-09-23,Calgary,AB,CAN,CAN,73,206,2020,1,14,20212022,N,Playoffs
