Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Alex Barré-Boulet,20222023,TBL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:01,0,1997-05-21,Montmagny,QC,CAN,CAN,70,178,--,--,--,20202021,N,Regular Season
Mathew Barzal,20222023,NYI,R,C,58,14,37,51,5,22,0.88,10,32,4,19,0,0,1,5,139,10.1,18:43,35.6,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,Regular Season
Nathan Bastian,20222023,NJD,R,R,43,6,9,15,7,31,0.35,6,15,0,0,0,0,0,1,62,9.7,12:26,29.7,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,Regular Season
Drake Batherson,20222023,OTT,R,R,82,22,40,62,-35,33,0.76,8,33,14,29,0,0,0,2,249,8.8,18:36,34.2,1998-04-27,Fort Wayne,IN,USA,CAN,75,200,2017,4,121,20182019,N,Regular Season
Gavin Bayreuther,20222023,CBJ,L,D,51,2,12,14,-18,23,0.27,2,13,0,1,0,0,0,0,61,3.3,15:57,--,1994-05-12,Canaan,NH,USA,USA,74,210,--,--,--,20182019,N,Regular Season
Jake Bean,20222023,CBJ,L,D,14,1,5,6,-2,6,0.43,1,5,0,1,0,0,0,0,16,6.3,15:42,--,1998-06-09,Calgary,AB,CAN,CAN,73,191,2016,1,13,20182019,N,Regular Season
Ethan Bear,20222023,VAN,R,D,61,3,13,16,6,25,0.26,3,15,0,0,0,1,0,1,75,4,18:32,--,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20172018,N,Regular Season
Nathan Beaulieu,20222023,ANA,L,D,52,0,4,4,-23,39,0.08,0,4,0,0,0,0,0,0,33,0,15:14,--,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,Regular Season
Anthony Beauvillier,20222023,"NYI,VAN",L,L,82,18,22,40,-10,24,0.49,15,36,3,4,0,0,1,5,176,10.2,16:16,23.1,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,Regular Season
Owen Beck,20222023,MTL,R,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,9:48,33.3,2004-02-03,Port Hope,ON,CAN,CAN,72,199,2022,2,33,20222023,N,Regular Season
Adam Beckman,20222023,MIN,L,L,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,12,0,10:41,0,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,3,75,20212022,N,Regular Season
Pierre-Edouard Bellemare,20222023,TBL,L,L,73,4,9,13,-9,34,0.18,4,11,0,0,0,2,0,0,51,7.8,11:17,52.3,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,Regular Season
Kieffer Bellows,20222023,"NYI,PHI",L,L,28,3,0,3,-8,6,0.11,3,3,0,0,0,0,0,1,32,9.4,9:41,16.7,1998-06-10,Edina,MN,USA,USA,73,195,2016,1,19,20192020,N,Regular Season
Alex Belzile,20222023,MTL,R,R,31,6,8,14,0,13,0.45,6,14,0,0,0,0,0,0,40,15,12:08,46.8,1991-08-31,St-Eloi,QC,CAN,CAN,72,198,--,--,--,20202021,N,Regular Season
Emil Bemstrom,20222023,CBJ,R,C,55,7,15,22,-11,6,0.4,4,16,3,6,0,0,0,0,95,7.4,12:07,41.2,1999-06-01,Nykoping,--,SWE,SWE,72,190,2017,4,117,20192020,N,Regular Season
Matty Beniers,20222023,SEA,L,C,80,24,33,57,14,2,0.71,20,46,4,10,0,1,1,4,148,16.2,17:06,42.2,2002-11-05,Hingham,MA,USA,USA,74,181,2021,1,2,20212022,N,Regular Season
Jamie Benn,20222023,DAL,L,L,82,33,45,78,23,34,0.95,18,45,13,30,2,3,0,4,190,17.4,15:47,60.1,1989-07-18,Victoria,BC,CAN,CAN,75,206,2007,5,129,20092010,N,Regular Season
Jordie Benn,20222023,TOR,L,D,12,1,1,2,-1,12,0.17,1,2,0,0,0,0,0,1,13,7.7,15:48,--,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,Regular Season
Sam Bennett,20222023,FLA,L,C,63,16,24,40,5,54,0.63,12,31,4,9,0,0,0,3,193,8.3,17:24,47,1996-06-20,Holland Landing,ON,CAN,CAN,73,193,2014,1,4,20142015,N,Regular Season
Matthew Benning,20222023,SJS,R,D,77,1,23,24,-18,26,0.31,1,22,0,1,0,1,0,0,58,1.7,19:47,--,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,Regular Season
Simon Benoit,20222023,ANA,L,D,78,3,7,10,-29,60,0.13,3,10,0,0,0,0,0,0,82,3.7,19:21,--,1998-09-19,Laval,QC,CAN,CAN,76,211,--,--,--,20202021,N,Regular Season
Tyler Benson,20222023,EDM,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:17,--,1998-03-15,Edmonton,AB,CAN,CAN,72,190,2016,2,32,20192020,N,Regular Season
Patrice Bergeron,20222023,BOS,R,C,78,27,31,58,35,22,0.74,16,37,9,19,2,2,0,7,249,10.8,17:24,61.1,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,Regular Season
Jonatan Berggren,20222023,DET,L,R,67,15,13,28,-14,16,0.42,10,19,5,9,0,0,0,0,98,15.3,13:28,50,2000-07-16,Uppsala,--,SWE,SWE,71,197,2018,2,33,20222023,N,Regular Season
Jacob Bernard-Docker,20222023,OTT,R,D,19,0,1,1,-2,11,0.05,0,1,0,0,0,0,0,0,22,0,16:01,--,2000-06-30,Canmore,AB,CAN,CAN,73,198,2018,1,26,20202021,N,Regular Season
Tim Berni,20222023,CBJ,L,D,59,1,2,3,-26,34,0.05,1,3,0,0,0,0,0,0,58,1.7,16:58,--,2000-02-11,Mannedorf,--,CHE,CHE,72,192,2018,6,159,20222023,N,Regular Season
Tyler Bertuzzi,20222023,"DET,BOS",L,L,50,8,22,30,-8,29,0.6,4,20,4,10,0,0,0,0,107,7.5,16:29,23.5,1995-02-24,Sudbury,ON,CAN,CAN,74,200,2013,2,58,20162017,N,Regular Season
William Bitten,20222023,STL,R,C,4,0,1,1,1,0,0.25,0,1,0,0,0,0,0,0,0,--,6:39,--,1998-07-10,Ottawa,ON,CAN,CAN,71,180,2016,3,70,20222023,N,Regular Season
Anders Bjork,20222023,"BUF,CHI",L,L,14,2,6,8,4,2,0.57,2,8,0,0,0,0,0,0,15,13.3,13:50,0,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20172018,N,Regular Season
Marcus Bjork,20222023,CBJ,R,D,33,3,8,11,-9,42,0.33,2,5,1,6,0,0,0,0,34,8.8,18:09,--,1997-11-24,Umea,--,SWE,SWE,76,211,--,--,--,20222023,N,Regular Season
Oliver Bjorkstrand,20222023,SEA,R,R,81,20,25,45,-1,16,0.56,15,35,5,10,0,0,1,1,198,10.1,15:37,30.5,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,Regular Season
Tobias Bjornfot,20222023,LAK,L,D,10,0,1,1,1,6,0.1,0,1,0,0,0,0,0,0,10,0,14:17,--,2001-04-06,Upplands Vasby,--,SWE,SWE,72,200,2019,1,22,20192020,N,Regular Season
Nick Bjugstad,20222023,"ARI,EDM",R,C,78,17,12,29,13,34,0.37,15,27,1,1,1,1,0,1,145,11.7,16:12,47.8,1992-07-17,Minneapolis,MN,USA,USA,77,205,2010,1,19,20122013,N,Regular Season
Colin Blackwell,20222023,CHI,R,C,53,2,8,10,-16,6,0.19,2,9,0,0,0,1,0,0,53,3.8,11:48,50,1993-03-28,North Andover,MA,USA,USA,68,190,2011,7,194,20182019,N,Regular Season
Sammy Blais,20222023,"NYR,STL",L,L,71,9,16,25,4,30,0.35,9,24,0,1,0,0,0,1,70,12.9,11:48,28.6,1996-06-17,Montmagny,QC,CAN,CAN,74,206,2014,6,176,20172018,N,Regular Season
Nick Blankenburg,20222023,CBJ,R,D,36,4,10,14,-16,16,0.39,4,10,0,4,0,0,0,1,50,8,19:10,--,1998-05-12,Washington,MI,USA,USA,69,177,--,--,--,20212022,N,Regular Season
Anton Blidh,20222023,COL,L,L,14,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,9,0,6:35,25,1995-03-14,Molnlycke,--,SWE,SWE,73,196,2013,6,180,20162017,N,Regular Season
Teddy Blueger,20222023,"PIT,VGK",L,C,63,4,12,16,-9,30,0.25,4,15,0,0,0,1,0,1,85,4.7,12:55,52,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,Regular Season
Matj Blümel,20222023,DAL,L,R,6,1,0,1,-2,0,0.17,1,1,0,0,0,0,0,0,7,14.3,9:42,--,2000-05-31,Tabor,--,CZE,CZE,72,205,2019,4,100,20222023,N,Regular Season
Brock Boeser,20222023,VAN,R,R,74,18,37,55,-20,24,0.74,12,39,6,16,0,0,0,3,178,10.1,17:14,38.6,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20162017,N,Regular Season
Zach Bogosian,20222023,TBL,R,D,46,1,4,5,-4,42,0.11,1,5,0,0,0,0,0,0,54,1.9,14:59,100,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,Regular Season
Samuel Bolduc,20222023,NYI,L,D,17,2,1,3,5,2,0.18,2,3,0,0,0,0,0,1,20,10,14:24,--,2000-12-09,Laval,QC,CAN,CAN,76,224,2019,2,57,20222023,N,Regular Season
Matt Boldy,20222023,MIN,L,L,81,31,32,63,1,39,0.78,23,37,8,26,0,0,1,5,255,12.2,18:30,54.6,2001-04-05,Milford,MA,USA,USA,74,201,2019,1,12,20212022,N,Regular Season
Nick Bonino,20222023,"SJS,PIT",L,C,62,10,9,19,-5,28,0.31,10,18,0,1,0,0,0,0,91,11,15:55,48.2,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,Regular Season
Adam Boqvist,20222023,CBJ,R,D,46,5,19,24,-12,8,0.52,5,15,0,9,0,0,0,1,68,7.4,18:38,--,2000-08-15,Falun,--,SWE,SWE,72,191,2018,1,8,20192020,N,Regular Season
Jesper Boqvist,20222023,NJD,L,C,70,10,11,21,8,2,0.3,10,21,0,0,0,0,0,2,67,14.9,11:36,33.2,1998-10-30,Falun,--,SWE,SWE,73,190,2017,2,36,20192020,N,Regular Season
Thomas Bordeleau,20222023,SJS,L,C,8,0,2,2,-3,0,0.25,0,2,0,0,0,0,0,0,9,0,15:14,25,2002-01-03,Houston,TX,USA,USA,70,175,2020,2,38,20212022,N,Regular Season
Will Borgen,20222023,SEA,R,D,82,3,17,20,11,47,0.24,3,20,0,0,0,0,0,1,76,4,16:22,--,1996-12-19,Moorhead,MN,USA,USA,75,204,2015,4,92,20182019,N,Regular Season
Henrik Borgstrom,20222023,WSH,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:10,--,1997-08-06,Helsinki,--,FIN,FIN,75,199,2016,1,23,20172018,N,Regular Season
Mark Borowiecki,20222023,NSH,L,D,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,9:56,--,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,Regular Season
Robert Bortuzzo,20222023,STL,R,D,43,2,3,5,9,29,0.12,2,5,0,0,0,0,0,0,30,6.7,12:34,--,1989-03-18,Thunder Bay,ON,CAN,CAN,76,206,2007,3,78,20112012,N,Regular Season
Evan Bouchard,20222023,EDM,R,D,82,8,32,40,6,28,0.49,6,26,2,13,0,1,1,2,156,5.1,18:31,--,1999-10-20,Oakville,ON,CAN,CAN,75,192,2018,1,10,20182019,N,Regular Season
Shane Bowers,20222023,COL,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1:46,0,1999-07-30,Halifax,NS,CAN,CAN,74,186,2017,1,28,20222023,N,Regular Season
Travis Boyd,20222023,ARI,R,C,82,15,19,34,-32,26,0.41,13,24,2,10,0,0,1,3,94,16,16:32,43.4,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,Regular Season
Erik Brannstrom,20222023,OTT,L,D,74,2,16,18,5,38,0.24,2,17,0,1,0,0,0,0,74,2.7,16:07,--,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,Regular Season
Derick Brassard,20222023,OTT,L,C,62,13,10,23,3,30,0.37,8,13,5,10,0,0,0,4,92,14.1,12:11,50,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,Regular Season
Jesper Bratt,20222023,NJD,L,L,82,32,41,73,14,6,0.89,24,51,8,22,0,0,1,3,212,15.1,17:22,--,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,Regular Season
Justin Braun,20222023,PHI,R,D,51,0,2,2,-1,19,0.04,0,2,0,0,0,0,0,0,42,0,14:59,--,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,Regular Season
Guillaume Brisebois,20222023,VAN,L,D,17,1,2,3,-2,6,0.18,1,3,0,0,0,0,0,0,15,6.7,16:32,--,1997-07-21,Longueuil,QC,CAN,CAN,74,175,2015,3,66,20182019,N,Regular Season
Philip Broberg,20222023,EDM,L,D,46,1,7,8,6,2,0.17,1,8,0,0,0,0,0,0,32,3.1,12:36,--,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,Regular Season
TJ Brodie,20222023,TOR,L,D,58,2,12,14,10,14,0.24,2,13,0,0,0,1,0,0,58,3.5,21:13,--,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,Regular Season
Jonas Brodin,20222023,MIN,L,D,60,3,11,14,13,30,0.23,3,12,0,0,0,2,0,0,90,3.3,22:52,--,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,Regular Season
Jonny Brodzinski,20222023,NYR,R,C,17,1,1,2,3,8,0.12,1,2,0,0,0,0,0,0,27,3.7,9:19,53.1,1993-06-19,Ham Lake,MN,USA,USA,72,211,2013,5,148,20162017,N,Regular Season
Connor Brown,20222023,WSH,R,R,4,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,16:46,40,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,Regular Season
Joshua Brown,20222023,ARI,R,D,68,4,3,7,-18,87,0.1,4,7,0,0,0,0,0,0,68,5.9,15:46,--,1994-01-21,London,ON,CAN,CAN,77,220,2013,6,152,20182019,N,Regular Season
Logan Brown,20222023,STL,L,C,30,2,4,6,-4,8,0.2,2,6,0,0,0,0,0,0,18,11.1,10:24,34.5,1998-03-05,Raleigh,NC,USA,USA,79,229,2016,1,11,20172018,N,Regular Season
Patrick Brown,20222023,"PHI,OTT",R,C,61,4,8,12,-2,44,0.2,3,11,0,0,1,1,0,0,60,6.7,11:23,52.5,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,Regular Season
Jacob Bryson,20222023,BUF,L,D,59,1,8,9,-24,8,0.15,1,8,0,0,0,1,0,0,27,3.7,14:35,--,1997-11-18,London,ON,CAN,CAN,69,177,2017,4,99,20202021,N,Regular Season
Pavel Buchnevich,20222023,STL,L,L,63,26,41,67,14,36,1.06,18,44,8,21,0,2,0,2,123,21.1,19:27,29.9,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,Regular Season
Michael Bunting,20222023,TOR,L,L,82,23,26,49,21,103,0.6,16,39,7,10,0,0,0,4,174,13.2,15:48,50,1995-09-17,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20182019,N,Regular Season
Andre Burakovsky,20222023,SEA,L,L,49,13,26,39,-9,14,0.8,9,25,4,14,0,0,2,3,105,12.4,16:33,0,1995-02-09,Klagenfurt,--,AUT,SWE,75,203,2013,1,23,20142015,N,Regular Season
Callahan Burke,20222023,COL,R,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,8:49,33.3,1997-03-19,Boxborough,MA,USA,USA,70,183,--,--,--,20222023,N,Regular Season
Brent Burns,20222023,CAR,R,D,82,18,43,61,19,44,0.74,14,38,4,23,0,0,1,2,255,7.1,23:13,100,1985-03-09,Barrie,ON,CAN,CAN,77,228,2003,1,20,20032004,N,Regular Season
Kyle Burroughs,20222023,VAN,R,D,48,2,3,5,-4,62,0.1,2,5,0,0,0,0,0,0,47,4.3,17:22,0,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,Regular Season
Quinton Byfield,20222023,LAK,L,R,53,3,19,22,13,30,0.42,2,21,1,1,0,0,0,0,74,4.1,14:04,47.2,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,Regular Season
Bowen Byram,20222023,COL,L,D,42,10,14,24,7,38,0.57,7,17,2,6,1,1,0,1,65,15.4,21:53,--,2001-06-13,Cranbrook,BC,CAN,CAN,73,205,2019,1,4,20202021,N,Regular Season
Drake Caggiula,20222023,PIT,L,L,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,6:36,0,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,Regular Season
Kyle Capobianco,20222023,WPG,L,D,14,2,0,2,1,6,0.14,2,2,0,0,0,0,0,1,14,14.3,12:20,--,1997-08-13,Mississauga,ON,CAN,CAN,75,198,2015,3,63,20172018,N,Regular Season
Michael Carcone,20222023,ARI,L,L,9,2,1,3,3,2,0.33,2,3,0,0,0,0,0,0,15,13.3,12:39,--,1996-05-19,Ajax,ON,CAN,CAN,69,182,--,--,--,20212022,N,Regular Season
Brandon Carlo,20222023,BOS,R,D,75,3,13,16,44,38,0.21,3,14,0,0,0,2,0,0,94,3.2,18:50,--,1996-11-26,Colorado Springs,CO,USA,USA,77,220,2015,2,37,20162017,N,Regular Season
